CD_SETOR,V06001,V06002,V06003,V06004,V06005
314330205000135,"154,00","466,00","2,54","1.575,84","3.835.687,26"
314330205000137,"291,00","807,00","1,96","1.996,16","6.826.280,99"
314330205000139,"93,00","266,00","2,67","1.343,49","687.212,43"
314330205000140,"201,00","623,00","2,54","1.598,11","2.060.728,61"
314330205000141,"219,00","640,00","2,33","1.573,77","1.993.901,03"
314330205000142,"255,00","758,00","1,94","2.723,01","12.087.536,72"
314330205000144,"211,00","589,00","1,65","2.330,72","3.085.868,07"
314330205000145,"164,00","430,00","1,49","2.782,04","10.655.428,64"
314330205000146,"140,00","402,00","1,39","2.785,40","6.310.414,65"
314330205000148,"207,00","589,00","1,81","2.788,22","8.465.755,37"
314330205000149,"252,00","717,00","1,97","1.745,34","1.971.116,18"
314330205000150,"195,00","573,00","1,86","1.533,98","1.191.401,47"
314330205000151,"184,00","539,00","2,43","1.544,56","2.264.061,90"
314330205000152,"198,00","588,00","1,87","2.317,87","6.431.694,40"
314330205000153,"276,00","715,00","1,65","1.910,47","9.047.953,35"
314330205000154,"178,00","484,00","1,97","1.793,18","358.013,34"
314330205000155,"272,00","799,00","2,74","2.299,71","5.986.244,68"
314330205000157,"348,00","990,00","1,98","2.411,08","5.899.772,23"
314330205000158,"276,00","751,00","1,94","2.743,65","7.905.246,22"
314330205000159,"205,00","570,00","2,28","1.998,74","3.367.588,94"
314330205000160,"188,00","572,00","1,83","2.423,66","4.836.157,39"
314330205000161,"285,00","786,00","1,82","2.014,85","3.957.341,02"
314330205000162,"232,00","674,00","2,29","1.847,10","4.995.523,89"
314330205000163,"259,00","729,00","1,87","2.159,02","4.502.411,19"
314330205000165,"199,00","595,00","2,62","1.917,12","2.079.062,59"
314330205000166,"245,00","715,00","2,21","2.474,59","7.144.882,36"
314330205000167,"296,00","865,00","2,02","3.595,49","15.266.042,80"
314330205000168,"296,00","869,00","2,32","3.411,91","11.857.413,31"
314330205000170,"177,00","491,00","2,35","2.065,43","4.264.721,51"
314330205000171,"198,00","559,00","1,84","2.663,80","14.283.516,67"
314330205000173,"193,00","493,00","1,58","2.993,13","9.393.904,96"
314330205000175,"211,00","595,00","2,48","2.486,98","5.962.501,84"
314330205000177,"235,00","585,00","1,76","3.416,06","13.235.087,49"
314330205000178,"195,00","459,00","1,47","3.037,63","8.641.434,15"
314330205000179,"219,00","582,00","1,82","3.244,84","12.340.494,24"
314330205000180,"242,00","623,00","1,50","5.456,70","29.711.629,17"
314330205000181,"256,00","664,00","1,61","4.143,98","18.462.263,61"
314330205000182,"176,00","461,00","1,51","2.280,15","6.096.108,74"
314330205000183,"209,00","582,00","2,12","2.531,83","8.503.369,54"
314330205000184,"197,00","521,00","1,56","2.292,63","5.334.023,43"
314330205000185,"201,00","565,00","2,00","2.485,32","11.727.789,29"
314330205000191,"271,00","792,00","2,17","2.708,03","8.276.699,77"
314330205000192,"192,00","529,00","1,75","3.325,85","10.894.896,87"
314330205000193,"185,00","490,00","1,61","2.493,95","4.495.409,72"
314330205000194,"187,00","535,00","1,78","1.205,10","369.403,81"
314330205000195,"290,00","919,00","2,67","1.307,20","830.261,51"
314330205000196,"66,00","237,00","3,45","1.165,65","346.579,09"
314330205000198,"236,00","662,00","1,44","2.450,15","4.582.201,51"
314330205000202,"181,00","538,00","1,49","2.062,16","4.582.712,33"
314330205000203,"258,00","776,00","2,11","1.724,79","3.898.149,85"
314330205000204,"213,00","682,00","2,13","1.359,58","824.150,57"
314330205000206,"239,00","741,00","2,67","1.790,10","1.933.955,90"
314330205000207,"143,00","434,00","2,20","1.792,29","1.986.987,59"
314330205000209,"271,00","801,00","1,96","1.748,39","2.325.812,35"
314330205000211,"263,00","733,00","1,41","2.089,96","4.165.049,91"
314330205000212,"212,00","687,00","1,71","1.738,61","929.023,36"
314330205000213,"225,00","678,00","2,50","1.579,32","1.425.240,67"
314330205000215,"78,00","259,00","2,12","1.751,02","1.695.626,02"
314330205000216,"220,00","729,00","2,64","2.595,84","4.451.684,02"
